data,materia,tipo_votacao,resultado,sim,nao,abstencao,sessoes_na_data,votaram_SIM,votaram_NAO,abstiveram,ementa
2026-03-03,PL 2175/2026 - PARECER CCJ,NOMINAL,REPROVADO,9,14,0,EXTRAORDINARIA nº 2 (sk 2079) | ORDINARIA nº 11 (sk 2092),CHICO VIGILANTE (PT); DAYSE AMARILIO (PSB); FÁBIO FELIX (PSOL); GABRIEL MAGNO (PT); MAX MACIEL (PSOL); PAULA BELMONTE (INVÁLIDO); RICARDO VALE (PT); ROGERIO MORRO DA CRUZ (PRD); THIAGO MANZONI (PL),DANIEL DONIZET (MDB); DOUTORA JANE (REPUBLICANOS); EDUARDO PEDROSA (UNIÃO); HERMETO (MDB); IOLANDO (MDB); JAQUELINE SILVA (MDB); JOAQUIM RORIZ NETO (PL); JORGE VIANNA (PSD); MARTINS MACHADO (REPUBLICANOS); PASTOR DANIEL DE CASTRO (PP); PEPA (PP); ROBÉRIO NEGREIROS (PSD); ROOSEVELT VILELA (PL); WELLINGTON LUIZ (MDB),,"AUTORIA: PODER EXECUTIVO  DISPÕE SOBRE AS MEDIDAS A SEREM ADOTADAS PELO DISTRITO FEDERAL, NA CONDIÇÃO DE ACIONISTA CONTROLADOR, PARA O RESTABELECIMENTO E FORTALECIMENTO DAS CONDIÇÕES ECONÔMICO-FINANCEIRAS DO BANCO DE BRASÍLIA S.A. – BRB, E DÁ OUTRAS PROVIDÊNCIAS.  RELATORIAS:  HERMETO - CAF, EDUARDO"
2026-04-29,"PL 2295/2026-  PARECERES CAF, CEOF  E CCJ",SIMBOLICA,APROVADA,0,0,0,EXTRAORDINARIA nº 10 (sk 2115) | SOLENE nº 188 (sk 2124) | ORDINARIA nº 34 (sk 2125) | SOLENE nº 189 (sk 2144),,,,"EMENTA: ALTERA A LEI Nº 7.845, DE 10 DE MARÇO DE 2026, QUE ""DISPÕE SOBRE AS MEDIDAS A SEREM ADOTADAS PELO DISTRITO FEDERAL, NA CONDIÇÃO DE ACIONISTA CONTROLADOR, PARA O RESTABELECIMENTO E FORTALECIMENTO DAS CONDIÇÕES ECONÔMICO-FINANCEIRAS DO BANCO DE BRASÍLIA S.A. - BRB, E DÁ OUTRAS PROVIDÊNCIAS"". A"
2026-04-29,PL 2295/2026-  1º TURNO,SIMBOLICA,APROVADA,0,0,0,EXTRAORDINARIA nº 10 (sk 2115) | SOLENE nº 188 (sk 2124) | ORDINARIA nº 34 (sk 2125) | SOLENE nº 189 (sk 2144),,,,"EMENTA: ALTERA A LEI Nº 7.845, DE 10 DE MARÇO DE 2026, QUE ""DISPÕE SOBRE AS MEDIDAS A SEREM ADOTADAS PELO DISTRITO FEDERAL, NA CONDIÇÃO DE ACIONISTA CONTROLADOR, PARA O RESTABELECIMENTO E FORTALECIMENTO DAS CONDIÇÕES ECONÔMICO-FINANCEIRAS DO BANCO DE BRASÍLIA S.A. - BRB, E DÁ OUTRAS PROVIDÊNCIAS"".  "
2026-04-29,PL 2295/2026-  EMENDA DESTACADA Nº 1,NOMINAL,REPROVADO,6,10,0,EXTRAORDINARIA nº 10 (sk 2115) | SOLENE nº 188 (sk 2124) | ORDINARIA nº 34 (sk 2125) | SOLENE nº 189 (sk 2144),CHICO VIGILANTE (PT); FÁBIO FELIX (PSOL); GABRIEL MAGNO (PT); MAX MACIEL (PSOL); RICARDO VALE (PT); ROGERIO MORRO DA CRUZ (PSD),DOUTORA JANE (REPUBLICANOS); EDUARDO PEDROSA (UNIÃO); HERMETO (MDB); JAQUELINE SILVA (MDB); JORGE VIANNA (INVÁLIDO); MARTINS MACHADO (REPUBLICANOS); PASTOR DANIEL DE CASTRO (PP); PEPA (PP); ROOSEVELT VILELA (PL); WELLINGTON LUIZ (MDB),,"EMENTA: EMENDA DESTACADA Nº 1 AO PL Nº 2.295/2026, QUE ""ALTERA A LEI Nº 7.845, DE 10 DE MARÇO DE 2026, QUE 'DISPÕE SOBRE AS MEDIDAS A SEREM ADOTADAS PELO DISTRITO FEDERAL, NA CONDIÇÃO DE ACIONISTA CONTROLADOR, PARA O RESTABELECIMENTO E FORTALECIMENTO DAS CONDIÇÕES ECONÔMICO-FINANCEIRAS DO BANCO DE B"
2026-04-29,PL 2295/2026-  EMENDA DESTACADA Nº 2,NOMINAL,REPROVADO,6,10,0,EXTRAORDINARIA nº 10 (sk 2115) | SOLENE nº 188 (sk 2124) | ORDINARIA nº 34 (sk 2125) | SOLENE nº 189 (sk 2144),CHICO VIGILANTE (PT); FÁBIO FELIX (PSOL); GABRIEL MAGNO (PT); MAX MACIEL (PSOL); RICARDO VALE (PT); ROGERIO MORRO DA CRUZ (PSD),DOUTORA JANE (REPUBLICANOS); EDUARDO PEDROSA (UNIÃO); HERMETO (MDB); IOLANDO (MDB); JAQUELINE SILVA (MDB); JORGE VIANNA (INVÁLIDO); MARTINS MACHADO (REPUBLICANOS); PASTOR DANIEL DE CASTRO (PP); ROOSEVELT VILELA (PL); WELLINGTON LUIZ (MDB),,"EMENTA: EMENDA DESTACADA Nº 2 AO PL Nº 2.295/2026, QUE ""ALTERA A LEI Nº 7.845, DE 10 DE MARÇO DE 2026, QUE 'DISPÕE SOBRE AS MEDIDAS A SEREM ADOTADAS PELO DISTRITO FEDERAL, NA CONDIÇÃO DE ACIONISTA CONTROLADOR, PARA O RESTABELECIMENTO E FORTALECIMENTO DAS CONDIÇÕES ECONÔMICO-FINANCEIRAS DO BANCO DE B"
2026-04-29,PL 2295/2026-  EMENDA DESTACADA Nº 4,NOMINAL,REPROVADO,6,9,0,EXTRAORDINARIA nº 10 (sk 2115) | SOLENE nº 188 (sk 2124) | ORDINARIA nº 34 (sk 2125) | SOLENE nº 189 (sk 2144),CHICO VIGILANTE (PT); FÁBIO FELIX (PSOL); GABRIEL MAGNO (PT); MAX MACIEL (PSOL); RICARDO VALE (PT); ROGERIO MORRO DA CRUZ (PSD),DOUTORA JANE (REPUBLICANOS); EDUARDO PEDROSA (UNIÃO); HERMETO (MDB); JAQUELINE SILVA (MDB); JORGE VIANNA (INVÁLIDO); MARTINS MACHADO (REPUBLICANOS); PASTOR DANIEL DE CASTRO (PP); ROOSEVELT VILELA (PL); WELLINGTON LUIZ (MDB),,"EMENTA: EMENDA DESTACADA Nº 4 AO PL Nº 2.295/2026, QUE ""ALTERA A LEI Nº 7.845, DE 10 DE MARÇO DE 2026, QUE 'DISPÕE SOBRE AS MEDIDAS A SEREM ADOTADAS PELO DISTRITO FEDERAL, NA CONDIÇÃO DE ACIONISTA CONTROLADOR, PARA O RESTABELECIMENTO E FORTALECIMENTO DAS CONDIÇÕES ECONÔMICO-FINANCEIRAS DO BANCO DE B"
2026-04-29,PL 2295/2026-  EMENDA DESTACADA Nº 5,NOMINAL,REPROVADO,6,9,0,EXTRAORDINARIA nº 10 (sk 2115) | SOLENE nº 188 (sk 2124) | ORDINARIA nº 34 (sk 2125) | SOLENE nº 189 (sk 2144),CHICO VIGILANTE (PT); FÁBIO FELIX (PSOL); GABRIEL MAGNO (PT); MAX MACIEL (PSOL); RICARDO VALE (PT); ROGERIO MORRO DA CRUZ (PSD),DOUTORA JANE (REPUBLICANOS); EDUARDO PEDROSA (UNIÃO); HERMETO (MDB); JAQUELINE SILVA (MDB); JORGE VIANNA (INVÁLIDO); MARTINS MACHADO (REPUBLICANOS); PASTOR DANIEL DE CASTRO (PP); PEPA (PP); WELLINGTON LUIZ (MDB),,"EMENTA: EMENDA DESTACADA Nº 5 AO PL Nº 2.295/2026, QUE ""ALTERA A LEI Nº 7.845, DE 10 DE MARÇO DE 2026, QUE 'DISPÕE SOBRE AS MEDIDAS A SEREM ADOTADAS PELO DISTRITO FEDERAL, NA CONDIÇÃO DE ACIONISTA CONTROLADOR, PARA O RESTABELECIMENTO E FORTALECIMENTO DAS CONDIÇÕES ECONÔMICO-FINANCEIRAS DO BANCO DE B"
2026-04-29,PL 2295/2026-  EMENDA DESTACADA Nº 8,NOMINAL,REPROVADO,6,11,0,EXTRAORDINARIA nº 10 (sk 2115) | SOLENE nº 188 (sk 2124) | ORDINARIA nº 34 (sk 2125) | SOLENE nº 189 (sk 2144),CHICO VIGILANTE (PT); FÁBIO FELIX (PSOL); GABRIEL MAGNO (PT); MAX MACIEL (PSOL); RICARDO VALE (PT); ROGERIO MORRO DA CRUZ (PSD),DOUTORA JANE (REPUBLICANOS); EDUARDO PEDROSA (UNIÃO); HERMETO (MDB); IOLANDO (MDB); JAQUELINE SILVA (MDB); JOAQUIM RORIZ NETO (PL); JORGE VIANNA (INVÁLIDO); MARTINS MACHADO (REPUBLICANOS); PASTOR DANIEL DE CASTRO (PP); PEPA (PP); WELLINGTON LUIZ (MDB),,"EMENTA: EMENDA DESTACADA Nº 8 AO PL Nº 2.295/2026, QUE ""ALTERA A LEI Nº 7.845, DE 10 DE MARÇO DE 2026, QUE 'DISPÕE SOBRE AS MEDIDAS A SEREM ADOTADAS PELO DISTRITO FEDERAL, NA CONDIÇÃO DE ACIONISTA CONTROLADOR, PARA O RESTABELECIMENTO E FORTALECIMENTO DAS CONDIÇÕES ECONÔMICO-FINANCEIRAS DO BANCO DE B"
2026-06-09,PL 2363/2026 - 1º TURNO,NOMINAL,APROVADA,11,9,1,EXTRAORDINARIA nº 13 (sk 2186) | ORDINARIA nº 50 (sk 2203),EDUARDO PEDROSA (UNIÃO); HERMETO (MDB); IOLANDO (MDB); JAQUELINE SILVA (MDB); JOAQUIM RORIZ NETO (PL); MARTINS MACHADO (REPUBLICANOS); PASTOR DANIEL DE CASTRO (PP); PEPA (PP); ROBÉRIO NEGREIROS (PODEMOS); ROOSEVELT VILELA (PL); WELLINGTON LUIZ (MDB),CHICO VIGILANTE (PT); DAYSE AMARILIO (PSB); FÁBIO FELIX (PSOL); GABRIEL MAGNO (PT); JORGE VIANNA (INVÁLIDO); MAX MACIEL (PSOL); PAULA BELMONTE (INVÁLIDO); RICARDO VALE (PT); ROGERIO MORRO DA CRUZ (PSD),DOUTORA JANE (REPUBLICANOS),"EMENTA: ""ALTERA A LEI Nº 7.845, DE 10 DE MARÇO DE 2026, QUE “DISPÕE SOBRE AS MEDIDAS A SEREM ADOTADAS PELO DISTRITO FEDERAL, NA CONDIÇÃO DE ACIONISTA CONTROLADOR, PARA O RESTABELECIMENTO E FORTALECIMENTO DAS CONDIÇÕES ECONÔMICO-FINANCEIRAS DO BANCO DE BRASÍLIA S.A. – BRB”, RATIFICA OS TERMOS DO ACOR"
2026-06-09,PL 2363/2026 - 2º TURNO,NOMINAL,APROVADA,11,9,1,EXTRAORDINARIA nº 13 (sk 2186) | ORDINARIA nº 50 (sk 2203),EDUARDO PEDROSA (UNIÃO); HERMETO (MDB); IOLANDO (MDB); JAQUELINE SILVA (MDB); JOAQUIM RORIZ NETO (PL); MARTINS MACHADO (REPUBLICANOS); PASTOR DANIEL DE CASTRO (PP); PEPA (PP); ROBÉRIO NEGREIROS (PODEMOS); ROOSEVELT VILELA (PL); WELLINGTON LUIZ (MDB),CHICO VIGILANTE (PT); DAYSE AMARILIO (PSB); FÁBIO FELIX (PSOL); GABRIEL MAGNO (PT); JORGE VIANNA (INVÁLIDO); MAX MACIEL (PSOL); PAULA BELMONTE (INVÁLIDO); RICARDO VALE (PT); ROGERIO MORRO DA CRUZ (PSD),DOUTORA JANE (REPUBLICANOS),"EMENTA: ""ALTERA A LEI Nº 7.845, DE 10 DE MARÇO DE 2026, QUE “DISPÕE SOBRE AS MEDIDAS A SEREM ADOTADAS PELO DISTRITO FEDERAL, NA CONDIÇÃO DE ACIONISTA CONTROLADOR, PARA O RESTABELECIMENTO E FORTALECIMENTO DAS CONDIÇÕES ECONÔMICO-FINANCEIRAS DO BANCO DE BRASÍLIA S.A. – BRB”, RATIFICA OS TERMOS DO ACOR"
2026-06-09,RQ 2974/2026 - TURNO ÚNICO,NOMINAL,REPROVADO,8,11,1,EXTRAORDINARIA nº 13 (sk 2186) | ORDINARIA nº 50 (sk 2203),CHICO VIGILANTE (PT); DAYSE AMARILIO (PSB); FÁBIO FELIX (PSOL); GABRIEL MAGNO (PT); MAX MACIEL (PSOL); PAULA BELMONTE (INVÁLIDO); RICARDO VALE (PT); ROGERIO MORRO DA CRUZ (PSD),HERMETO (MDB); IOLANDO (MDB); JAQUELINE SILVA (MDB); JOAQUIM RORIZ NETO (PL); JORGE VIANNA (INVÁLIDO); MARTINS MACHADO (REPUBLICANOS); PASTOR DANIEL DE CASTRO (PP); PEPA (PP); ROBÉRIO NEGREIROS (PODEMOS); ROOSEVELT VILELA (PL); WELLINGTON LUIZ (MDB),DOUTORA JANE (REPUBLICANOS),"EMENTA: ""REQUER A CONVOCAÇÃO DO SENHOR NELSON ANTÔNIO DE SOUZA, PRESIDENTE DO BANCO DE BRASÍLIA S.A. – BRB, PARA COMPARECER À CÂMARA LEGISLATIVA DO DISTRITO FEDERAL, A FIM DE PRESTAR ESCLARECIMENTOS SOBRE A SITUAÇÃO ECONÔMICO-FINANCEIRA DO BANCO E SOBRE A OPERAÇÃO DE CRÉDITO PROPOSTA PELO PODER EXEC"
2026-06-09,PL 2363/2026 - PARECER CEOF,NOMINAL,APROVADA,11,1,2,EXTRAORDINARIA nº 13 (sk 2186) | ORDINARIA nº 50 (sk 2203),EDUARDO PEDROSA (UNIÃO); HERMETO (MDB); IOLANDO (MDB); JAQUELINE SILVA (MDB); JOAQUIM RORIZ NETO (PL); MARTINS MACHADO (REPUBLICANOS); PASTOR DANIEL DE CASTRO (PP); PEPA (PP); ROBÉRIO NEGREIROS (PODEMOS); ROOSEVELT VILELA (PL); WELLINGTON LUIZ (MDB),ROGERIO MORRO DA CRUZ (PSD),DOUTORA JANE (REPUBLICANOS); JORGE VIANNA (INVÁLIDO),"EMENTA: ""ALTERA A LEI Nº 7.845, DE 10 DE MARÇO DE 2026, QUE “DISPÕE SOBRE AS MEDIDAS A SEREM ADOTADAS PELO DISTRITO FEDERAL, NA CONDIÇÃO DE ACIONISTA CONTROLADOR, PARA O RESTABELECIMENTO E FORTALECIMENTO DAS CONDIÇÕES ECONÔMICO-FINANCEIRAS DO BANCO DE BRASÍLIA S.A. – BRB”, RATIFICA OS TERMOS DO ACOR"
2026-06-09,PL 2363/2026 - PARECER CCJ,NOMINAL,REPROVADO,8,12,1,EXTRAORDINARIA nº 13 (sk 2186) | ORDINARIA nº 50 (sk 2203),CHICO VIGILANTE (PT); DAYSE AMARILIO (PSB); FÁBIO FELIX (PSOL); GABRIEL MAGNO (PT); MAX MACIEL (PSOL); PAULA BELMONTE (INVÁLIDO); RICARDO VALE (PT); ROGERIO MORRO DA CRUZ (PSD),EDUARDO PEDROSA (UNIÃO); HERMETO (MDB); IOLANDO (MDB); JAQUELINE SILVA (MDB); JOAQUIM RORIZ NETO (PL); JORGE VIANNA (INVÁLIDO); MARTINS MACHADO (REPUBLICANOS); PASTOR DANIEL DE CASTRO (PP); PEPA (PP); ROBÉRIO NEGREIROS (PODEMOS); ROOSEVELT VILELA (PL); WELLINGTON LUIZ (MDB),DOUTORA JANE (REPUBLICANOS),"EMENTA: ""ALTERA A LEI Nº 7.845, DE 10 DE MARÇO DE 2026, QUE “DISPÕE SOBRE AS MEDIDAS A SEREM ADOTADAS PELO DISTRITO FEDERAL, NA CONDIÇÃO DE ACIONISTA CONTROLADOR, PARA O RESTABELECIMENTO E FORTALECIMENTO DAS CONDIÇÕES ECONÔMICO-FINANCEIRAS DO BANCO DE BRASÍLIA S.A. – BRB”, RATIFICA OS TERMOS DO ACOR"
