palavra_chave,forma_encontrada,classe,superficie,tabela,coluna,proposicao,proposicao_id,documento_id,documento_textual_id,tipo_documento,unidade_autora,data,ementa,trecho,endpoint_fonte,evidencia_local
BRB,BRB,CASO,documento,documento,texto,PL 1882/2025,153779,306467,317620,Emenda,BPPSOL-PSB,2025-08-18T18:09:42,"Autoriza o BRB - Banco de Brasília a adquirir participação em instituições financeiras sediadas no Brasil e no exterior, empresas com atividades próprias ou complementares às do setor financeiro, inclusive no ramo de tecnologia da informação (TI) e empresas com objetos sociais relacionados às ativid","CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Bloco Parlamentar PSOL-PSB emenda ADITIVA (Bloco PSOL-PSB) Emenda ao Projeto de Lei nº 1882/2025, que “Autoriza o BRB - Banco de Brasília a adquirir participação em instituições financeiras sediadas no Brasil e no exterior, empresas com atividades próprias ou complementares às do setor financeiro, inclusive no ramo de tecnologia da informação (TI) e empresas com objetos soci",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/153779/documento/ativas,data/raw/documento-ativas/a91cdb16a2fb033b.json
BRB,BRB,CASO,documento,documento,texto,REQ 2199/2025,153841,306568,317882,Requerimento,GAB DEP GABRIEL MAGNO,2025-08-19T12:48:52,"Requer a Tramitação do Projeto de Lei 1.182/2025, que “Autoriza o BRB - Banco de Brasília a adquirir participação em instituições financeiras sediadas no Brasil e no exterior, empresas com atividades próprias ou complementares às do setor financeiro, inclusive no ramo de tecnologia da informação (TI","CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Gabinete do Deputado Gabriel Magno - Gab 16 Requerimento Nº, DE 2025 (Autoria: Deputado Gabriel Magno) Requer a Tramitação do Projeto de Lei 1.182/2025, que “Autoriza o BRB - Banco de Brasília a adquirir participação em instituições financeiras sediadas no Brasil e no exterior, empresas com atividades próprias ou complementares às do setor financeiro, inclusive no ramo de tecnologia da informação (TI) e empresas com objetos soci",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/153841/documento/ativas,data/raw/documento-ativas/e908a310657eedfc.json
BRB,BRB,CASO,documento,documento,texto,PL 1882/2025,153779,306583,317944,Emenda,GAB DEP HERMETO,2025-08-19T14:43:50,"Autoriza o BRB - Banco de Brasília a adquirir participação em instituições financeiras sediadas no Brasil e no exterior, empresas com atividades próprias ou complementares às do setor financeiro, inclusive no ramo de tecnologia da informação (TI) e empresas com objetos sociais relacionados às ativid","CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Gabinete do Deputado Hermeto - Gab 11 emenda subemenda (Autoria: Deputado Hermeto) Emenda ao Projeto de Lei nº 1882/2025, que “Autoriza o BRB - Banco de Brasília a adquirir participação em instituições financeiras sediadas no Brasil e no exterior, empresas com atividades próprias ou complementares às do setor financeiro, inclusive no ramo de tecnologia da informação (TI) e empresas com objetos soci",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/153779/documento/ativas,data/raw/documento-ativas/a91cdb16a2fb033b.json
BRB,BRB,CASO,documento,documento,texto,PL 1882/2025,153779,306600,317969,Emenda,GAB DEP HERMETO,2025-08-19T15:45:59,"Autoriza o BRB - Banco de Brasília a adquirir participação em instituições financeiras sediadas no Brasil e no exterior, empresas com atividades próprias ou complementares às do setor financeiro, inclusive no ramo de tecnologia da informação (TI) e empresas com objetos sociais relacionados às ativid","CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Gabinete do Deputado Hermeto - Gab 11 emenda SUBSTITUTIVA (Autoria: Deputado Hermeto) Emenda ao Projeto de Lei nº 1882/2025, que “Autoriza o BRB - Banco de Brasília a adquirir participação em instituições financeiras sediadas no Brasil e no exterior, empresas com atividades próprias ou complementares às do setor financeiro, inclusive no ramo de tecnologia da informação (TI) e empresas com objetos soci",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/153779/documento/ativas,data/raw/documento-ativas/a91cdb16a2fb033b.json
BRB,BRB,CASO,documento,documento,texto,REQ 2205/2025,153852,306607,317987,Requerimento,GAB DEP GABRIEL MAGNO,2025-08-19T16:40:04,"Requer ao Banco de Brasília (BRB) informações, dados e relatórios relacionados ao Projeto de Lei n.º 1.882/2025, que “ Autoriza o BRB - Banco de Brasília a adquirir participação em instituições financeiras sediadas no Brasil e no exterior, empresas com atividades próprias ou complementares às do set","CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Gabinete do Deputado Gabriel Magno - Gab 16 Requerimento Nº, DE 2025 (Autoria: Deputado Gabriel Magno) Requer ao Banco de Brasília (BRB) informações, dados e relatórios relacionados ao Projeto de Lei n.º 1.882/2025, que “ Autoriza o BRB - Banco de Brasília a adquirir participação em instituições financeiras sediadas no Brasil e no exterior, empresas com atividades próprias ou complementares à",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/153852/documento/ativas,data/raw/documento-ativas/c01cbd8d0a7d3683.json
BRB,BRB,CASO,documento,documento,texto,PL 1882/2025,153779,306609,317991,Emenda,GAB DEP HERMETO,2025-08-19T16:48:05,"Autoriza o BRB - Banco de Brasília a adquirir participação em instituições financeiras sediadas no Brasil e no exterior, empresas com atividades próprias ou complementares às do setor financeiro, inclusive no ramo de tecnologia da informação (TI) e empresas com objetos sociais relacionados às ativid","CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Gabinete do Deputado Hermeto - Gab 11 subemenda (Autoria: Deputado Hermeto) Subemenda ao Projeto de Lei nº 1882/2025, que “Autoriza o BRB - Banco de Brasília a adquirir participação em instituições financeiras sediadas no Brasil e no exterior, empresas com atividades próprias ou complementares às do setor financeiro, inclusive no ramo de tecnologia da informação (TI) e empresas com objetos soci",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/153779/documento/ativas,data/raw/documento-ativas/a91cdb16a2fb033b.json
BRB,BRB,CASO,documento,documento,texto,PL 1882/2025,153779,306614,318006,Emenda,GAB DEP HERMETO,2025-08-19T17:29:33,"Autoriza o BRB - Banco de Brasília a adquirir participação em instituições financeiras sediadas no Brasil e no exterior, empresas com atividades próprias ou complementares às do setor financeiro, inclusive no ramo de tecnologia da informação (TI) e empresas com objetos sociais relacionados às ativid","CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Gabinete do Deputado Hermeto - Gab 11 emenda substitutivo (Autoria: Deputado Hermeto) Emenda ao Projeto de Lei nº 1882/2025, que “Autoriza o BRB - Banco de Brasília a adquirir participação em instituições financeiras sediadas no Brasil e no exterior, empresas com atividades próprias ou complementares às do setor financeiro, inclusive no ramo de tecnologia da informação (TI) e empresas com objetos soci",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/153779/documento/ativas,data/raw/documento-ativas/a91cdb16a2fb033b.json
BRB,BRB,CASO,documento,documento,texto,PL 1882/2025,153779,306619,318023,Emenda,BPPSOL-PSB,2025-08-19T18:41:46,"Autoriza o BRB - Banco de Brasília a adquirir participação em instituições financeiras sediadas no Brasil e no exterior, empresas com atividades próprias ou complementares às do setor financeiro, inclusive no ramo de tecnologia da informação (TI) e empresas com objetos sociais relacionados às ativid","CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Bloco Parlamentar PSOL-PSB emenda ADITIVA (Autoria: Bloco PSOL-PSB e outro) Emenda ao Projeto de Lei nº 1882/2025, que “Autoriza o BRB - Banco de Brasília a adquirir participação em instituições financeiras sediadas no Brasil e no exterior, empresas com atividades próprias ou complementares às do setor financeiro, inclusive no ramo de tecnologia da informação (TI) e empresas com objetos soci",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/153779/documento/ativas,data/raw/documento-ativas/a91cdb16a2fb033b.json
BRB,BRB,CASO,documento,documento,texto,PL 1882/2025,153779,306620,318025,Emenda,BPPSOL-PSB,2025-08-19T18:44:03,"Autoriza o BRB - Banco de Brasília a adquirir participação em instituições financeiras sediadas no Brasil e no exterior, empresas com atividades próprias ou complementares às do setor financeiro, inclusive no ramo de tecnologia da informação (TI) e empresas com objetos sociais relacionados às ativid","CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Bloco Parlamentar PSOL-PSB emenda ADITIVA (Autoria: Bloco PSOL-PSB e outro) Emenda ao Projeto de Lei nº 1882/2025, que “Autoriza o BRB - Banco de Brasília a adquirir participação em instituições financeiras sediadas no Brasil e no exterior, empresas com atividades próprias ou complementares às do setor financeiro, inclusive no ramo de tecnologia da informação (TI) e empresas com objetos soci",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/153779/documento/ativas,data/raw/documento-ativas/a91cdb16a2fb033b.json
BRB,BRB,CASO,documento,documento,texto,REQ 2250/2025,154164,308394,322413,Requerimento,GAB DEP FÁBIO FÉLIX,2025-09-04T15:57:59,Requer informações ao Banco de Brasília S.A. a respeito de indícios de operações atípicas,"iscriminados por espécie/classe de ação (ordinária e preferencial). Cópia das comunicações realizadas à Comissão de Valores Mobiliários (CVM) ou a outros órgãos de fiscalização referentes à entrada, à saída ou à movimentação desses fundos no capital social do BRB, com a devida indicação da espécie/classe de ações envolvidas, bem como a divulgação de eventuais fatos relevantes. Relação dos fundos de investimento que participaram das assembleias de acionistas no período de junho de 2024 a agosto de 2025, com indicaçã",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/154164/documento/ativas,data/raw/documento-ativas/cde32c78d57ad96e.json
BRB,BRB,CASO,documento,documento,texto,REQ 2249/2025,154193,308628,322478,Requerimento,GAB DEP FÁBIO FÉLIX,2025-09-05T18:13:37,Requer informações ao BRB S.A. sobre a operação de aquisição do Banco Master,"CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Gabinete do Deputado Fábio Félix - Gab 24 Requerimento Nº, DE 2025 (Autoria: Deputado Fábio Felix) Requer informações ao BRB S.A. sobre a operação de aquisição do Banco Master. Excelentíssimo Senhor Presidente da Câmara Legislativa do Distrito Federal, Requeiro, nos termos do art. 42 do RICLDF, com base na prerrogativa constitucional de fiscalização parlamentar, sejam requeridas do",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/154193/documento/ativas,data/raw/documento-ativas/9a1731fbe5552076.json
BRB,BRB,CASO,documento,documento,texto,REQ 2510/2025,155481,319072,342535,Requerimento,GAB DEP PAULA BELMONTE,2025-11-18T09:41:54,"Requer-se a CONVOCAÇÃO do Presidente do Banco de Brasília – BRB, Sr. Paulo Henrique, bem como do Diretor Financeiro, Sr. Dario Oswaldo, para que compareçam à Câmara Legislativa do Distrito Federal, a fim de prestarem esclarecimentos acerca das operações realizadas pelo BRB relativas à tentativa de a","CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Gabinete da Deputada Paula Belmonte - Gab 22 Requerimento Nº, DE 2025 (Autoria: Deputada PAULA BELMONTE) Requer-se a CONVOCAÇÃO do Presidente do Banco de Brasília – BRB, Sr. Paulo Henrique, bem como do Diretor Financeiro, Sr. Dario Oswaldo, para que compareçam à Câmara Legislativa do Distrito Federal, a fim de prestarem esclarecimentos acerca das operações realizadas pelo BRB relativas à tentativa de aquisição de participaçã",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/155481/documento/ativas,data/raw/documento-ativas/67e3d568bd715515.json
BRB,BRB,CASO,documento,documento,texto,REQ 2505/2025,155500,319267,342486,Requerimento,GAB DEP CHICO VIGILANTE,2025-11-18T16:22:40,"Requer a convocação do Senhor Paulo Henrique Costa, presidente afastado do Banco de Brasília - BRB, a esta Câmara Legislativa, para prestar esclarecimentos sobre riscos de crédito e problemas de gestão à frente da presidência  do BRB, relacionados à tentativa de compra do Banco Master, à operação da","CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Gabinete do Deputado Chico Vigilante - Gab 09 Requerimento Nº, DE 2025 (Autoria: Deputado Chico Vigilante) Requer a convocação do Senhor Paulo Henrique Costa, presidente afastado do Banco de Brasília - BRB, a esta Câmara Legislativa, para prestar esclarecimentos sobre riscos de crédito e problemas de gestão à frente da presidência do BRB, relacionados à tentativa de compra do Banco Master, à operação da Polícia Federal e às decisões judiciais e do Banco Central",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/155500/documento/ativas,data/raw/documento-ativas/632a52c0bc498996.json
BRB,BRB,CASO,documento,documento,texto,REQ 2507/2025,155503,319279,342528,Requerimento,GAB DEP CHICO VIGILANTE,2025-11-18T17:45:36,"Requer a convocação do Senhor Dario Oswaldo Garcia Júnior, diretor afastado do Banco de Brasília - BRB, a esta Câmara Legislativa, para prestar esclarecimentos sobre riscos de crédito e problemas de gestão na direção do BRB, relacionados à tentativa de compra do Banco Master, à operação da Polícia F","CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Gabinete do Deputado Chico Vigilante - Gab 09 Requerimento Nº, DE 2025 (Autoria: Deputado Chico Vigilante) Requer a convocação do Senhor Dario Oswaldo Garcia Júnior, diretor afastado do Banco de Brasília - BRB, a esta Câmara Legislativa, para prestar esclarecimentos sobre riscos de crédito e problemas de gestão na direção do BRB, relacionados à tentativa de compra do Banco Master, à operação da Polícia Federal e às decisões judiciais e do Banco Central do Brasil qu",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/155503/documento/ativas,data/raw/documento-ativas/b2c1effa17ad503d.json
BRB,BRB,CASO,documento,documento,texto,REQ 2511/2025,155506,319282,342709,Requerimento,GAB DEP CHICO VIGILANTE,2025-11-18T19:37:31,"Requer informações à presidente em exercício do Banco de Brasília - BRB sobre a real situação do banco em vista das gravíssimas denúncias de fraudes, gestão temerária e riscos associados aos investimentos feitos pelo BRB no recém liquidado Banco Master.","CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Gabinete do Deputado Chico Vigilante - Gab 09 Requerimento Nº, DE 2025 (Autoria: Deputado Chico Vigilante) Requer informações à presidente em exercício do Banco de Brasília - BRB, Cristiane Maria Lima Bukowitz, sobre a real situação do banco, em vista das gravíssimas denúncias de fraudes, gestão temerária e riscos associados aos investimentos feitos pelo BRB no recém-liquidado Banco Master. Excelentíssimo Senhor Presidente da Câmara L",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/155506/documento/ativas,data/raw/documento-ativas/51e902a8d36cc0a2.json
BRB,BRB,CASO,documento,documento,texto,REQ 2505/2025,155500,319315,342616,Requerimento,GAB DEP CHICO VIGILANTE,2025-11-19T10:31:51,"Requer a convocação do Senhor Paulo Henrique Costa, presidente afastado do Banco de Brasília - BRB, a esta Câmara Legislativa, para prestar esclarecimentos sobre riscos de crédito e problemas de gestão à frente da presidência  do BRB, relacionados à tentativa de compra do Banco Master, à operação da","CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Gabinete do Deputado Chico Vigilante - Gab 09 Requerimento Nº, DE 2025 (Autoria: Deputado Chico Vigilante) Requer a convocação do Senhor Paulo Henrique Costa, presidente afastado do Banco de Brasília - BRB, a esta Câmara Legislativa, para prestar esclarecimentos sobre riscos de crédito e problemas de gestão à frente da presidência do BRB, relacionados à tentativa de compra do Banco Master, à operação da Polícia Federal e às decisões judiciais e do Banco Central",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/155500/documento/ativas,data/raw/documento-ativas/632a52c0bc498996.json
BRB,BRB,CASO,documento,documento,texto,REQ 2507/2025,155503,319322,342633,Requerimento,GAB DEP CHICO VIGILANTE,2025-11-19T11:02:47,"Requer a convocação do Senhor Dario Oswaldo Garcia Júnior, diretor afastado do Banco de Brasília - BRB, a esta Câmara Legislativa, para prestar esclarecimentos sobre riscos de crédito e problemas de gestão na direção do BRB, relacionados à tentativa de compra do Banco Master, à operação da Polícia F","CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Gabinete do Deputado Chico Vigilante - Gab 09 Requerimento Nº, DE 2025 (Autoria: Deputado Chico Vigilante) Requer a convocação do Senhor Dario Oswaldo Garcia Júnior, diretor afastado do Banco de Brasília - BRB, a esta Câmara Legislativa, para prestar esclarecimentos sobre riscos de crédito e problemas de gestão na direção do BRB, relacionados à tentativa de compra do Banco Master, à operação da Polícia Federal e às decisões judiciais e do Banco Central do Brasil qu",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/155503/documento/ativas,data/raw/documento-ativas/b2c1effa17ad503d.json
BRB,BRB,CASO,documento,documento,texto,REQ 2507/2025,155503,319327,342644,Requerimento,GAB DEP CHICO VIGILANTE,2025-11-19T11:32:00,"Requer a convocação do Senhor Dario Oswaldo Garcia Júnior, diretor afastado do Banco de Brasília - BRB, a esta Câmara Legislativa, para prestar esclarecimentos sobre riscos de crédito e problemas de gestão na direção do BRB, relacionados à tentativa de compra do Banco Master, à operação da Polícia F","CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Gabinete do Deputado Chico Vigilante - Gab 09 Requerimento Nº, DE 2025 (Autoria: Deputado Chico Vigilante) Requer a convocação do Senhor Dario Oswaldo Garcia Júnior, diretor afastado do Banco de Brasília - BRB, a esta Câmara Legislativa, para prestar esclarecimentos sobre riscos de crédito e problemas de gestão na direção do BRB, relacionados à tentativa de compra do Banco Master, à operação da Polícia Federal e às decisões judiciais e do Banco Central do Brasil qu",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/155503/documento/ativas,data/raw/documento-ativas/b2c1effa17ad503d.json
BRB,BRB,CASO,documento,documento,texto,REQ 2509/2025,155521,319338,342668,Requerimento,GAB DEP CHICO VIGILANTE,2025-11-19T12:22:32,Requer o encaminhamento de pedido de informações à Diretora-Presidente do Instituto de Previdência dos Servidores do Distrito Federal.,"ualizada de todos os recursos do IPREV/DF aplicados no mercado financeiro, discriminados por instituição financeira, modalidade de aplicação e rentabilidade no presente exercício financeiro, bem como nos exercícios de 2023 e 2024; III – quantidade de ações do BRB de propriedade do IPREV/DF, com a informação da data e valor da aquisição, bem como o valor atual dessas ações. IV – valor dos dividendos das ações do BRB recebidos pelo IPREV, discriminados por exercício financeiro. JUSTIFICAÇÃO Depois das notícias devast",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/155521/documento/ativas,data/raw/documento-ativas/3b7330462f8344b7.json
BRB,BRB,CASO,documento,documento,texto,REQ 2513/2025,155533,319440,342934,Requerimento,GAB DEP MAX MACIEL,2025-11-20T22:02:44,"Requer o encaminhamento de pedido de informações à Diretora-Presidente do Instituto de Previdência dos Servidores do Distrito Federal – IPREV-DF, relativas à situação financeira do Regime Próprio de Previdência Social do Distrito Federal, ao uso dos rendimentos do Fundo Solidário Garantidor, aos est","rendimentos do Fundo Solidário Garantidor; a justificativa técnica e normativa para a utilização desses recursos, indicando fundamentos legais, cálculos atuariais e critérios adotados; avaliação atualizada do impacto que uma eventual redução dos dividendos do BRB poderá gerar sobre a capacidade de pagamento de aposentadorias e pensões. Informações consolidadas da composição e desempenho do Fundo Solidário Garantidor, contendo: a composição atualizada da carteira de ativos, discriminando classes de investimento, emi",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/155533/documento/ativas,data/raw/documento-ativas/27513affe52ccbb5.json
